<<<<<<< Updated upstream
title,organization,category,location,subject_area,deadline,grade_level,description,link,source,source_url,scraped_at
California Academy of the Sciences-Careers in Science Intern,California Academy of the Sciences-Careers in Science Intern,Internship,"San Francisco, CA Format: All Year Length: Multi-year (2-3 years) Cost: Free Eligibility: 9th or 10th grade student enrolled in an SFUSD school with a GPA of 2.5 or higher Best for:",High School,,,True,Local All-year Free .5 or higher . ...,https://www.calacademy.org/careers-in-science-cis-intern-program,STEM,All Year (Multi-year (2-3 years))
Los Alamos National Laboratory High School Internship Program,Los Alamos National Laboratory High School Internship Program,Research,"Los Alamos, NM Format: Academic year and summer internships available Length: 10+ weeks Cost: Free Eligibility: New Mexico high school juniors and seniors aged 16+ Best for:",Grade 11-12,,,True,Interns are part-time during the school year (10-20...,https://www.lanl.gov/engage/collaboration/student-programs/high-school,STEM,Academic year and summer internships available (10+ weeks)
University of Kansas Biotech Research Apprentice Program,University of Kansas Biotech Research Apprentice Program,Research,"Overland Park, KS Format: Academic year Length: Semester Cost: Free Eligibility:",Grade 10-12,,,True,This is a research support role rather than an independent...,https://edwardscampus.ku.edu/biotech-research-apprentice-program,Computer Science,Academic year (Semester)
Summer Science Program,Summer Science Program,Research,"Multiple host campuses (program/location depends on track) Format: Summer Length: 5 weeks Cost: $11,800 max;",Grade 11-12,,,True,Residential Summer !) that requires a very high level of involvement. ...,https://summerscience.org/the-ssp-experience/what-is-ssp/,STEM,Summer (5 weeks)
George Mason University Aspiring Scientists Internship Program (ASSIP),George Mason University Aspiring Scientists Internship Program (ASSIP),Research,"Fairfax, VA Format: Summer Length: 8 weeks Cost: $1,299 (to cover the cost of college credits earned) Eligibility:",Grade 10-12,,,True,Summer Lab Commuter Competitive . ...,https://science.gmu.edu/assip,Engineering,Summer (8 weeks)
University of California Davis Young Scholars Program,University of California Davis Young Scholars Program,Research,"Davis, CA Format: Summer Length: 6 weeks Cost: $7,750 Eligibility: Rising juniors and seniors who will be 16+ by the start of the program Best for: Students interested in biological, agricultural, environmental, or natural sciences who want one-on-one mentorship and a tangible outcome (journal-quality paper + symposium presentation). What you do: Pursue an independent original research project with faculty mentorship, producing the aforementioned...",Grade 11-12,,,True,Summer Competitive Lab Residential . ...,https://education.ucdavis.edu/ysp-about,STEM,Summer (6 weeks)
"Michigan State High School Honors Science, Math and Engineering Program","Michigan State High School Honors Science, Math and Engineering Program",Research,"East Lansing, MI Format: Summer Length: 7 weeks Cost: $4,000 Eligibility: Current high school juniors Best for: Juniors who want a",Grade 11-12,,,True,Summer Residential Competitive . . Many students have gone on to publish...,https://education.msu.edu/hshsp/,Engineering,Summer (7 weeks)
Boston University RISE,Boston University RISE,Research,"Boston, MA Format: Summer Length: 6 weeks Cost: $5,930 plus room & board Eligibility: Current high school juniors Best for: Juniors who want either full-time lab immersion or a more structured research experience. What you do: Conduct lab research in one of two tracks: Internship or Practicum.",Grade 11-12,,,True,students work in...,https://www.bu.edu/summer/high-school-programs/rise-internship-practicum/,STEM,Summer (6 weeks)
Stony Brook University Garcia Center Research Experience for High School Students,Stony Brook University Garcia Center Research Experience for High School Students,Research,"Stony Brook, NY Format: Summer (with possible academic year continuation) Length: 7 weeks Cost: $4,000 plus room & board Eligibility:",Grade 10-12,,,True,Residential Commuter All-year Summer Lab . Local students also have the option to continue research during the school year. ...,https://www.stonybrook.edu/commcms/garcia/summer_program/program_description,Engineering,Summer (with possible academic year continuation) (7 weeks)
University of Iowa Secondary Student Training Program,University of Iowa Secondary Student Training Program,Research,"Iowa City, IA Format: Summer Length: 6 weeks Cost: $7,500 Eligibility: High school sophomores and juniors Best for: Students looking for a structured environment and small-group research experience. What you do: Conduct research in a small group supported by a University of Iowa faculty member. Students choose from nearly twenty active research areas and work on their project approximately seven hours per day. All groups create and present a poster at...",Grade 11-12,,,True,research areas and work on their project approximately seven hours per day. All groups create and present a poster at...,https://belinblank.education.uiowa.edu/students/sstp/,Environment,Summer (6 weeks)
University of California Santa Cruz Science Internship Program (SIP),University of California Santa Cruz Science Internship Program (SIP),Research,"Santa Cruz, CA Format: Summer Length: 8 weeks (one week virtual, seven weeks in-person) Cost: $4,250 plus room & board Eligibility:",Grade 10-12,,,True,Residential Summer Lab Competitive . ...,https://sip.ucsc.edu/,STEM,"Summer (8 weeks (one week virtual, seven weeks in-person))"
University of Chicago Research in the Biological Sciences (RIBS),University of Chicago Research in the Biological Sciences (RIBS),Research,"Chicago, IL Format: Summer Length: 4 weeks Cost: $15,200 Eligibility: Current sophomores and juniors Best for: Sophomores and juniors with strong science grades who want a structured pathway to lab research. What you do: Learn and practice molecular, microbiological, and cell biology research techniques, then apply them while completing and presenting an independent research project.",Grade 11-12,,,True,There are also weekly writing assignments and seminars....,https://summer.uchicago.edu/courses/research-in-the-biological-sciences/,STEM,Summer (4 weeks)
Smith College Summer Science and Engineering Program,Smith College Summer Science and Engineering Program,Research,"Northampton, MA Format: Summer Length: 2-4 weeks Cost: $4,985 (2 weeks); $9,970 (4 weeks) Eligibility:",Grade 9-12,,,True,session offers multiple course options; students attend class &...,https://www.smith.edu/academics/programs-courses/precollege-programs/summer-science-engineering-program#novel-bacteriophage-discovery-4,Engineering,Summer (2-4 weeks)
Congressional App Challenge,Congressional App Challenge,Competition,United States,Grade 11-12,,,True,"Challenge is a prestigious competition that encourages high school students to develop their coding skills by creating their own apps. It aims to connect today's Congress with tomorrow's coders, significantly increasing Congress' mentions of computer science and coding by 2,000%. The challenge is open to students from participating districts, offering them a platform to showcase their apps and potentially win awards. This initiative not only promotes STEM education but...",https://www.congressionalappchallenge.us/,Computer Science,
National Youth Orchestra of the United States of America (NYO-USA),National Youth Orchestra of the United States of America (NYO-USA),Summer Program,United States,Grade 11-12,,,True,"The National Youth Orchestra of the United States of America (NYO-USA), organized by Carnegie Hall's Weill Music Institute, is a prestigious summer program that gathers the brightest young musicians from across the country. This free program, following a comprehensive audition process, offers a multi-week training residency with leading professional orchestra musicians. Participants, aged 16-19, embark on a tour to some of the great music capitals of the world, serving as dynamic music...",https://www.carnegiehall.org/Education/Programs/National-Youth-Ensembles/NYO-USA,Arts Performance,
The New York Times Student Contests,The New York Times Student Contests,Competition,United States,Grade 11-12,,,True,"Times offers a series of student contests as part of its Learning Network, providing a platform for students to engage creatively with current events and express themselves through various formats. These contests include challenges in writing, multimedia, and visual arts, catering to a wide range of interests. Open to students worldwide, these contests aim to foster creativity, critical thinking, and a deeper understanding of the world. Participants have the opportunity to have...",https://www.nytimes.com/2023/07/13/learning/our-2023-24-student-contest-calendar.html,"English Literature Writing, Arts Performance",
DECA Inc. - Collegiate Program,DECA Inc. - Collegiate Program,Competition,United States,Grade 11-12,,,True,"program includes competitive events, corporate challenges, and educational conferences to help students prepare for their careers. DECA's collegiate program seeks to prepare emerging leaders and entrepreneurs for success in their future professional endeavors. It provides a platform for students to demonstrate their career knowledge,...",https://www.deca.org/,Business,
FIRST Robotics Competition,FIRST Robotics Competition,Competition,United States,Grade 11-12,,,True,"Competition is a unique event that combines the excitement of sport with the rigors of science and technology. High school students, under strict rules and with limited resources, are challenged to build industrial-size robots to play a difficult field game in alliance with other teams. This competition not only involves the technical aspects of robot construction but also includes fundraising, team branding, and promoting STEM within the community. Participants have the...",https://www.firstinspires.org/robotics/frc,"Mathematics, Physics, Engineering",
PROMYS - Program in Mathematics for Young Scientists,PROMYS - Program in Mathematics for Young Scientists,Summer Program,United States,Grade 11-12,,,True,"PROMYS offers a unique environment where learners are treated as mathematicians, fostering...",https://promys.org/,Mathematics,
FTE Economics for Leaders Advanced,FTE Economics for Leaders Advanced,Summer Program,United States,Grade 11-12,,,True,program is ideal for students seeking to challenge themselves academically while preparing for top-tier...,https://www.fte.org/programs/economics-for-leaders/,Economics,
Stanford Math Tournament (SMT),Stanford Math Tournament (SMT),Competition,United States,Grade 11-12,,,True,"SMT offers a challenging and high-quality event for students passionate about mathematics. The tournament, supported by the Stanford Undergraduate Mathematics Organization and the Stanford Department of Mathematics, attracts over 1700 participants globally. In addition to the on-campus event, SMT also hosts an online tournament open to middle and high school students...",https://www.stanfordmathtournament.com/,Mathematics,
Stanford Institutes of Medicine Summer Research Program (SIMR),Stanford Institutes of Medicine Summer Research Program (SIMR),Research,United States,Grade 11-12,,,True,research is conducted. The...,https://simr.stanford.edu/,"Medical, Biology, Chemistry",
Regeneron Science Talent Search,Regeneron Science Talent Search,Competition,United States,High School,,,True,"who are developing innovative solutions to society's most urgent challenges. Participants submit original research in important scientific fields of study. The competition offers significant financial awards, with a top prize of $250,000. The...",https://www.societyforscience.org/regeneron-sts/,"Mathematics, Data Science, Environmental Science",
Management & Technology Summer Institute (M&TSI),Management & Technology Summer Institute (M&TSI),Summer Program,United States,Grade 11-12,,,True,"TSI offers courses taught by leading faculty, an intensive team prototyping project, and various activities aimed at technological innovation. The program...",https://fisher.wharton.upenn.edu/management-technology-summer-institute/,"Business, Engineering, Computer Science",
BlueStamp Engineering Summer Program,BlueStamp Engineering Summer Program,Summer Program,United States,Grade 11-12,,,True,"Engineering offers a hands-on summer program for high school students interested in technology and engineering. Students select and build a technology project they are passionate about, learning engineering fundamentals in the process. The program is available both remotely and in-person in Silicon Valley, catering to students of all experience levels with a 4:1 student-to-staff ratio. Participants create an online engineering portfolio to document their journey, which serves as a...",https://bluestampengineering.com/,"Engineering, Computer Science",
International Photography Awards (IPA),International Photography Awards (IPA),Competition,United States,Grade 11-12,,,True,"Winners are invited to the Lucie Awards gala, where the grand winners are...",https://photoawards.com/en/Pages/About/About.php,Arts Performance,
Scholastic Art and Writing Awards,Scholastic Art and Writing Awards,Competition,United States,Grade 11-12,,,True,"program offers students the opportunity to gain recognition, scholarships, and more through their creative works in art and writing. It includes exhibitions, workshops for teens, and professional development for educators, aiming to empower creative teens and elevate youth voices. The program is open to students of all grade levels and...",https://www.artandwriting.org/,"English Literature Writing, Arts Performance",
CYCE High School Summer Internship Programs at Cleveland Clinic,CYCE High School Summer Internship Programs at Cleveland Clinic,Internship,Ohio,Grade 11-12,,,True,"Clinic offers paid summer internship programs for high school students interested in healthcare careers. These internships are available in clinical, nonclinical, and advanced technology tracks, including areas like artificial intelligence, biomedical engineering, robotics, computing sciences, and cybersecurity. The program is designed to provide workforce readiness, career preparedness, and opportunities to work alongside...",https://my.clevelandclinic.org/departments/education/center-for-youth-and-college-education/internships,"Data Science, Engineering, Computer Science",
Eugene and Ruth Roberts Summer Student Academy,Eugene and Ruth Roberts Summer Student Academy,Research,United States,Grade 11-12,,,True,"Hope offers undergraduate and advanced high school students a unique opportunity to engage in inquiry-based biomedical research. Participants select their own research project and work full-time for 10 weeks as part of a biomedical research team, mentored by world-renowned physicians and scientists. The program includes weekly seminars, workshops on various topics including biomedical ethics, and the chance to develop critical...",https://www.cityofhope.org/academics/irell-and-manella-graduate-school-of-biological-sciences/summer-student-academy,"Medical, Biology, Chemistry",
High School Internship Program at LANL,High School Internship Program at LANL,Internship,United States,High School,,,True,"program includes internships in both STEM and other career fields such as administrative, business, and operations support. Eligible students must have senior status, be at least 16 years old, have a minimum GPA of 3.0, and attend a high school in northern New Mexico. The program provides a unique...",https://www.lanl.gov/careers/career-options/student-internships/high-school/,"Mathematics, Data Science, Environmental Science",
SUNY Oneonta Biological Field Station Internships,SUNY Oneonta Biological Field Station Internships,Internship,New York,Grade 11-12,,,True,"Station offers summer research internships for both college and high school students interested in environmental or natural sciences. The program runs from late May through August, with high school internships lasting 9 weeks and undergraduate internships lasting 10 weeks. Interns engage in a variety of research projects, including field work, laboratory analyses, data analysis, and writing. They are expected to present their research in seminars and produce a...",https://suny.oneonta.edu/biological-field-station/internships,"Environmental Science, Biology, Chemistry",
picoCTF Competition,picoCTF Competition,Competition,United States,Grade 11-12,,,True,event is an excellent opportunity for students interested in computer science and cybersecurity to...,https://picoctf.com/competitions/2024-spring.html,Computer Science,
American Mathematics Competitions (AMC),American Mathematics Competitions (AMC),Competition,United States,Grade 11-12,,,True,"program includes a variety of competitions such as the AMC 8, AMC 10/12, American Invitational Mathematics Examination (AIME), and the United States Mathematical Olympiad and Junior Mathematical Olympiad (USA(J)MO). Participating in the AMC...",https://maa.org/math-competitions,Mathematics,
Conrad Challenge,Conrad Challenge,Competition,United States,Grade 11-12,,,True,"Challenge is a year-long competition that encourages students aged 13 to 18 to design innovations that solve important problems, fostering entrepreneurship. Participants go through stages including Activation, Lean Canvas, Innovation, and Power Pitch, culminating in the Conrad Challenge Innovation Summit. Teams of 2-5 students, guided by a coach, compete in various categories to earn scholarships, entrepreneurial support, and the title of Pete Conrad Scholar. The competition...",https://www.conradchallenge.org/conrad-challenge,"Business, Engineering, Computer Science",
Berkeley Business Academy for Youth - High School Entrepreneurship,Berkeley Business Academy for Youth - High School Entrepreneurship,Competition,United States,Grade 11-12,,,True,"program features lectures from Berkeley Haas professors and corporate guest speakers, independent research, computer lab assignments, and team projects. Participants will learn about various business subjects, enhance their communication and presentation skills, and receive a UC Berkeley...",https://haas.berkeley.edu/business-academy/high-school-entrepreneurship/,Business,
Pasquines Volunteer and Internship Program,Pasquines Volunteer and Internship Program,Internship,United States,Grade 11-12,,,True,"Pasquines offers volunteer and internship opportunities for individuals interested in contributing to a nonprofit news organization covering the news of U.S. territories. The work is conducted online, with assignments submitted through Trello and team communication via Slack. The program is designed to be flexible, requiring as little as 2 hours of weekly work, and focuses on honing skills in an innovative and technology-focused environment. Pasquines is committed to inclusivity and encourages...",https://pasquines.us/join-us/,"English Literature Writing, Public Administration, Political Science",
Summer Science Academy - Emory School of Medicine,Summer Science Academy - Emory School of Medicine,Research,United States,High School,,,True,"Medicine is a day program designed for incoming 9th and 10th grade students with a passion for sciences, including biology, healthcare, medicine, or related STEM fields. The program offers hands-on learning in natural science, biotechnology, engineering and math, medical and science research, and health and science careers exploration. It will be held in-person on the Emory University main campus with three session options. The program aims to...",https://med.emory.edu/education/multicultural-med-student-affairs/summer-camps/index.html,"Mathematics, Engineering, Medical",
United States Physics Olympiad (USAPhO),United States Physics Olympiad (USAPhO),Competition,United States,Grade 11-12,,,True,"exam is open to U.S. citizens, legal permanent residents, or students attending a U.S. school. Registration requires a school registration fee and a per-student fee. The program emphasizes the development of physics knowledge and problem-solving skills, offering students a chance to compete...",https://en.wikipedia.org/wiki/United_States_Physics_Olympiad,"Mathematics, Physics",
Sierra Club - Environmental Volunteering,Sierra Club - Environmental Volunteering,Volunteering,United States,Grade 11-12,,,True,"Club is a historic grassroots environmental organization dedicated to protecting wildlife, wild places, and fighting for clean air and water. With over 130 years of activism, it offers high school students the opportunity to join a movement that impacts both local and global environments. Volunteers can participate in various activities, including protecting public lands, ensuring clean air and water, and addressing the climate crisis. The Sierra Club operates in 50 states across the...",https://www.sierraclub.org/,Environmental Science,
Regeneron International Science and Engineering Fair,Regeneron International Science and Engineering Fair,Competition,United States,Grade 11-12,,,True,"Regeneron ISEF is a fully in-person event, complemented by a virtual site for project...",https://www.societyforscience.org/isef/,"Mathematics, Data Science, Environmental Science",
U.S. Senate Page Program,U.S. Senate Page Program,Internship,United States,Grade 11-12,,,True,"Program offers high school juniors a unique opportunity to serve in the Senate, assisting senators in the Chamber with tasks such as delivery of correspondence and legislative material within the Capitol complex. Pages also prepare the Chamber for Senate sessions and carry bills and amendments to the desk. The program includes two academic year semesters and two summer sessions. Pages attend classes in the early morning at the United States Senate Page School, which is...",https://www.senate.gov/about/officers-staff/pages.htm,"Public Administration, Political Science, Law",
INSIGHT High School Program - Harborview Injury Prevention & Research Center,INSIGHT High School Program - Harborview Injury Prevention & Research Center,Research,United States,Grade 11-12,,,True,"Center is a four-week virtual program designed to introduce high school students to public health, biomedical research, and medicine with a focus on injury and violence prevention. The program is open to students entering grades 9-12 or those who have recently graduated. Participants will engage in a variety of activities including public health field research, seminars, workshops, and a capstone project on a...",https://hiprc.org/training/high-school/insight-hs/,"Medical, Biology",
United States Senate Youth Program,United States Senate Youth Program,Activity,United States,Grade 11-12,,,True,"program invites two student leaders from each state, the District of Columbia, and the Department of Defense Education Activity to spend a week in Washington, D.C., experiencing the U.S. government in action. Participants engage with senators, cabinet members, and officials from various federal agencies....",https://ussenateyouth.org/,"Public Administration, Political Science, Law",
USAAAO,USAAAO,Competition,United States,Grade 11-12,,,True,"It offers resources, online training, and selection tests to encourage academic development and selects students to represent the USA at the International Olympiad for Astronomy and Astrophysics (IOAA). The program includes a series of exams starting with a registration period in January, followed by the first round in February, and culminates with...",https://usaaao.org/,Physics,
National Cyber League (NCL) Competition,National Cyber League (NCL) Competition,Competition,United States,Grade 11-12,,,True,"competition is structured into different phases, including a Gymnasium for practice, a Practice Game, an Individual Game, and a Team Game. Registration costs $35 with a late registration fee of $45. Participants can earn a Scouting Report, which aids...",https://nationalcyberleague.org/competition,"Engineering, Computer Science",
Friends of Youth - Willows Youth Services Center,Friends of Youth - Willows Youth Services Center,Volunteering,United States,High School,,,True,"center is a part of Friends of Youth's broader commitment to serving youth and young families facing difficult circumstances. The organization also focuses on diversity, equity, and inclusion, working to dismantle...",https://www.friendsofyouth.org/,Psychology,
Celebrating Art Contest,Celebrating Art Contest,Competition,United States,Grade 11-12,,,True,"Art is an art contest that encourages students from grades K-12 to showcase their artistic talents. Participants have the opportunity to get their artwork published and win prizes, while teachers can earn supplies for their schools. The contest is held three times each year and is open to students across the U.S. It aims to provide students with a professional platform for their art and supports education by awarding art supplies and free books through its rewards program and...",https://www.celebratingart.com/,Arts Performance,
Life Enrichment Options (LEO) Volunteer Opportunities,Life Enrichment Options (LEO) Volunteer Opportunities,Volunteering,United States,Grade 11-12,,,True,"LEO offers various volunteer opportunities, including helping at events, joining committees (Housing, Events, Fundraising, Finance), and participating in the Challenge Series Races. These races, held in collaboration with Rotary Clubs, are a fun day for participants and families, providing a unique opportunity for volunteers to engage directly with the...",https://lifeenrichmentoptions.org/volunteer/,Medical,
Design-A-Bag Competition,Design-A-Bag Competition,Competition,United States,Grade 11-12,,,True,"Competition is a unique global event for designers and design students to showcase their talent in creating various designs for bags. The theme changes every year and can be found on their website. Participants have the opportunity to win a variety of prizes, including a trip to Hong Kong, cash prizes, a design course in Milan, and editorial exposure. The competition is open to design students and freelance designers, encouraging a global exchange of design concepts and...",https://www.designaccess-fa.com/,Arts Performance,
Leonard L. Milberg '53 High School Poetry Prize,Leonard L. Milberg '53 High School Poetry Prize,Competition,United States,Grade 11-12,,,True,"Winners are announced in April,...",https://arts.princeton.edu/about/opportunities/high-school-contests/poetry-contest/,English Literature Writing,
NASA Internship Programs,NASA Internship Programs,Internship,United States,Grade 11-12,,,True,"internships are available for both STEM and non-STEM majors, providing a wide range of opportunities to work alongside mentors on agency projects. Interns may work remotely or on-site at any of NASA's 10 field centers across the country. The program includes paid internships through the Pathways program, which can...",https://www.nasa.gov/learning-resources/internship-programs/,"Mathematics, Data Science, Physics",
National Arts Competition | YoungArts,National Arts Competition | YoungArts,Competition,United States,Grade 11-12,,,True,"YoungArts is a prestigious opportunity for 15- to 18-year-old visual, literary, or performing artists to gain national recognition and support for their talents. Open to U.S. citizens, permanent residents, or those legally able to receive taxable income in the U.S., the competition accepts applications in 10 disciplines including Classical Music, Dance, Design, Film, Jazz, Photography, Theater, Visual Arts, Voice, and Writing. Winners receive cash awards ranging...",https://youngarts.org/apply/,"English Literature Writing, Arts Performance",
NYC Ladders for Leaders,NYC Ladders for Leaders,Internship,New York,Grade 11-12,,,True,"Leaders is a prestigious program offering high school and college students paid professional summer internships within leading corporations, non-profit organizations, and government agencies in New York City. The program is part of NYC's Summer Youth Employment Program, the largest summer jobs program in the nation. Participants go through a competitive application process and receive 30 hours of pre-employment training to prepare them for their internships. This opportunity is...",https://www.nyc.gov/site/dycd/services/jobs-internships/nyc-ladders-for-leaders.page,"Business, Public Administration",
Congressional Essay Contest,Congressional Essay Contest,Competition,United States,Grade 11-12,,,True,"which includes a Mock Congress, university campus housing, meals, and tours of government offices and museums. The contest is open...",https://nscda.org/student-resources/congressional-essay-contest/,"English Literature Writing, Political Science, Law",
EPA Challenges & Prizes,EPA Challenges & Prizes,Competition,United States,Grade 11-12,,,True,"initiative invites individuals and groups to address a variety of environmental and public health issues through innovation and creativity. Participants can engage in competitions such as sensor development, app development, and project designs to tackle challenges ranging from PFAS contamination to indoor air quality. The program is open to students, academic researchers, non-profit organizations, private individuals, and businesses, offering more than $1,000,000 in...",https://www.epa.gov/innovation/epa-challenges-prizes,"Data Science, Environmental Science, Engineering",
Congressional Art Competition,Congressional Art Competition,Competition,United States,Grade 11-12,,,True,"Competition is a nationwide high school visual art competition held each spring to recognize and encourage artistic talent across the United States and in each congressional district. Since its inception in 1982, over 650,000 high school students have participated. Students submit their artwork to their representative's office, and district artists select the winners. The winners are honored in their district and at an annual awards ceremony in Washington, DC. The winning...",https://www.house.gov/educators-and-students/congressional-art-competition,Arts Performance,
United States Earth Science Organization (USESO) Programs,United States Earth Science Organization (USESO) Programs,Competition,United States,Grade 11-12,,,True,"students can attend the Training Camp, an in-person program at the University of Tulsa, focusing on Earth science education and preparation for the International Earth Science Olympiad (IESO). Additionally, the LEES...",https://www.useso.org/,"Environmental Science, Chemistry",
Never Such Innocence,Never Such Innocence,Competition,United States,Grade 11-12,,,True,"Innocence is a unique initiative that engages children and young people (ages 9-18) in reflecting on the impact of war and conflict through the arts. The program encourages participants to express their thoughts and feelings via poetry, art, and music, fostering a sense of global responsibility and peacebuilding. It offers a platform for cultural exchange and dialogue, amplifying the voices of young individuals worldwide. The annual competition invites submissions on themes related...",https://www.neversuchinnocence.com/,"English Literature Writing, Arts Performance, Philosophy",
Wharton Global High School Investment Competition,Wharton Global High School Investment Competition,Competition,United States,Grade 11-12,,,True,"students work together to develop an investment strategy, analyze industries and companies, and build a portfolio using $100,000 in virtual cash. The competition focuses on strategy, teamwork, communication, risk, and diversification, rather than portfolio growth. Finalists...",https://globalyouth.wharton.upenn.edu/investment-competition/,Business,
APL ASPIRE Program,APL ASPIRE Program,Internship,United States,Grade 11-12,,,True,"Interns are paired with APL staff mentors to work on projects, solve problems, and develop both technical and interpersonal skills. The program is unpaid and focuses on providing a supportive learning environment rather than a traditional job experience. It aims to be accessible...",https://secwww.jhuapl.edu/stem/aspire/,"Mathematics, Data Science, Environmental Science",
Earplay Donald Aird Composers Competition,Earplay Donald Aird Composers Competition,Competition,United States,Grade 11-12,,,True,"Competition is an annual event sponsored by Earplay, open to composers of any nationality and age. The competition celebrates the legacy of Donald Aird, a composer, conductor, and former Earplay board member dedicated to the creation and performance of new music. Participants can submit compositions for 1 to 6 players, with or without electronics, and of any duration, though 8-15 minutes is preferred. The winner receives a $1,000 cash prize and the opportunity...",https://www.earplay.org/donald-aird-competition,Arts Performance,
Blue Ocean Student Entrepreneur Competition,Blue Ocean Student Entrepreneur Competition,Competition,United States,Grade 11-12,,,True,"Competition is a prestigious virtual pitch competition for high school students globally. It encourages participants to create innovative business concepts that address unsolved problems or untapped markets, using the Blue Ocean Strategy methodology. The competition is open to individual students or teams, who submit their ideas through a 5-minute video pitch. Winners receive cash prizes and recognition, and the competition provides a platform for students to...",https://blueoceancompetition.org/,Business,
Games for Change Student Challenge,Games for Change Student Challenge,Competition,United States,Grade 11-12,,,True,"Challenge is an annual competition that invites students to submit original games, writing, and artwork. Open to middle and high school students, the competition is divided into Junior and Senior Divisions based on grade level or age. The challenge encourages participants to create games focusing on themes such as environmental sustainability and community improvement. Winners receive recognition on an international scale, along with prizes including games,...",https://gamesforchange.org/studentchallenge/about-the-competition/,"Environmental Science, Engineering, Computer Science",
Purple Comet! Math Meet!,Purple Comet! Math Meet!,Competition,United States,Grade 11-12,,,False,"Meet is an annual team mathematics competition for middle and high school students. Since its inception in 2003, it has offered a platform for students to showcase their problem-solving skills in mathematics. The competition is conducted online, typically in April. Teams are supervised and can register at any time, with team registration already underway. The competition aims to provide problems in multiple languages, catering to a diverse group of students globally. It's...",https://purplecomet.org/,Mathematics,
Reflections Arts Program - National PTA,Reflections Arts Program - National PTA,Competition,United States,Grade 11-12,,,True,"PTA offers students from Pre-K through Grade 12 the opportunity to express themselves and gain recognition in the arts. Each year, students create original works of art in response to a selected theme. The program encourages exploration of thoughts, feelings, and ideas, developing artistic literacy and confidence. Categories include Dance Choreography, Film Production, Literature, Music Composition, Photography, and Visual Arts. Students can...",https://www.pta.org/home/programs/reflections,"English Literature Writing, Arts Performance",
Babson Summer Study for High School Students,Babson Summer Study for High School Students,Summer Program,United States,Grade 11-12,,,True,"Study is a 3+ week experiential online program for rising high school juniors and seniors, focusing on developing an entrepreneurial mindset and becoming innovators and changemakers. Participants strengthen their understanding of the United Nations Global Goals, developing competencies and confidence to address real-world problems, seize opportunities, have an impact, and create change. The program includes live and asynchronous academic coursework, with participants expected to...",https://www.babson.edu/high-school-programs/apply/,Business,
Malott Family Zoo Intern Program - Lincoln Park Zoo,Malott Family Zoo Intern Program - Lincoln Park Zoo,Internship,Illinois,Grade 11-12,,,True,"Zoo offers a unique opportunity for Chicago high school students to gain hands-on experience in animal science and conservation fields. This seven-week paid internship runs from mid-June to early-August. Interns will learn about informal education techniques, communicate conservation messages to zoo guests, and work on a culminating project. They will also have the chance to meet with researchers and Animal Care staff to explore potential...",https://www.lpzoo.org/youth-programs/malott-family-zoo-intern-program-zip/,"Environmental Science, Biology",
Virginia Tech ICPC,Virginia Tech ICPC,Competition,United States,Grade 11-12,,,True,"team provides an opportunity for high school students to engage in competitive programming challenges. The VT ICPC hosts contests that allow students to demonstrate their problem-solving and programming skills in a competitive environment. Participation in the ICPC contests can be a valuable experience for students interested in computer science, offering them a chance to improve their coding abilities and compete against...",https://icpc.cs.vt.edu/#/hscontest,Computer Science,
CyberPatriot's National Youth Cyber Defense Competition,CyberPatriot's National Youth Cyber Defense Competition,Competition,United States,Grade 11-12,,,True,"Competition is a unique challenge that invites high school and middle school students to tackle cybersecurity vulnerabilities in virtual operating systems. Teams work to secure these systems, with top performers advancing through online rounds to potentially compete in the in-person National Finals. The competition is designed to be accessible to students with any level of cybersecurity knowledge, offering training materials and support. It represents...",https://www.uscyberpatriot.org/competition/Competition-Overview/competition-overview,"Data Science, Engineering, Computer Science",
Della Keats Program - University of Alaska Anchorage,Della Keats Program - University of Alaska Anchorage,Research,Alaska,Grade 11-12,,,True,"Anchorage is a summer program aimed at increasing the representation of Alaska Native and underrepresented students in health careers. It offers intensive residential summer programs for rising 11th and 12th grade students, focusing on preparing and inspiring them to pursue higher education in health professions. Participants engage in health science-related coursework, research projects, and medical or health care professional job shadows....",https://www.uaa.alaska.edu/academics/college-of-health/give/della-keats.cshtml,"Medical, Biology, Chemistry",
Game Design Competition for Girls,Game Design Competition for Girls,Competition,United States,Grade 11-12,,,True,"Girls is a national event encouraging female-identifying or gender non-binary students in grades 3-12 to develop their own original games on a browser-based platform. The competition promotes creativity, logical thinking, and coding skills, offering participants the opportunity to win prizes and recognition. Submissions are judged on originality, aesthetics, gameplay, code complexity, and quality. Winners are announced at the Code/Art Fest, where they receive...",https://www.code-art.com/gamedesign/,Computer Science,
Doodle for Google,Doodle for Google,Competition,United States,Grade 11-12,,,True,"Google is an annual competition inviting students to create their own Google doodle for the chance to have it featured on the Google homepage. The competition encourages creativity and innovation, allowing students to express themselves through art and design. While the specific details of the competition, such as themes and submission guidelines, are updated annually, the contest typically offers various prizes, including scholarships and technology grants for winning entries....",https://doodles.google.com/d4g/,"English Literature Writing, Arts Performance",
Young Scholars Program-REACH,Young Scholars Program-REACH,Summer Program,United States,Grade 11-12,,,True,"program offers an introduction to neuroscience and neural engineering, neuroethics, scientific communication, and brain-computer interfaces. Participants will also tour CNT partner labs in departments such as Computer Science and Electrical Engineering. With a program cost of $500 for...",https://centerforneurotech.uw.edu/content/young-scholars-program,"Engineering, Computer Science, Biology",
